Timestamp,What is your gender?,What is your age? ,What is your height (in cm)? ,What is your weight (in kg)?,What are your main hobbies? (Select all that apply),Which city are you from?,"What is your major? (CSE, ECE, BA, BFA, ...)",What is your current living situation?,How satisfied are you with your courses this semester?,How would you rate the overall quality of teaching methods?,How manageable is your current study workload?,How well have you adapted to the German-Vietnamese teaching style?,How satisfied are you with campus cleanliness?,How would you rate the internet/WiFi quality on campus?,Rate your satisfaction with the canteen (Food quality),Rate your satisfaction with the canteen (Food price),How satisfied are you with the availability of study spaces?,How would you rate the quality of friendships you've made at VGU?,How many student clubs are you actively involved in?,How satisfied are you with your interactions with international students?,How satisfied are you with campus social events?,How much personal growth have you experienced at VGU?,How satisfied are you with your German language progress?,How well do you manage your stress levels?,"On average, how many hours of sleep do you get per night?",How would you rate your exam anxiety levels?,Are you aware of VGU's counseling services?,How satisfied are you with the tuition fees considering the education quality?,How well are you managing your living costs?,How satisfied are you with scholarship opportunities at VGU?,"Overall, how happy are you as a VGU student?",What would make your experience at VGU better?
11/25/2024 13:17:46,Male,21,170,70,"Sports, Reading, Gaming, Music",Phú Yên,CSE,University dormitory,4,4,3,5,3,3,4,4,5,5,3,4,4,4,5,4,5-6 hours,3,"Yes, and I've used them",4,3,5,5,<3
11/25/2024 13:23:19,Male,21,171,65,"Sports, Reading, Gaming, Music",Ho Chi Minh,CSE,University dormitory,3,3,3,5,5,5,3,4,4,5,1,3,3,4,3,5,7-8 hours,2,"Yes, but I haven't used them",5,5,5,5,"More hackers, bigger trees "
11/25/2024 13:31:59,Male,21,174,72,"Sports, Reading, Music",Vung Tau,CSE,University dormitory,4,4,3,5,3,4,4,3,5,5,None,3,5,4,3,3,5-6 hours,4,"No, I wasn't aware",4,5,5,4,:3 many opportunities and places for students to showcase their talents
11/25/2024 13:32:06,Male,21,172,78,"Sports, Music, Hacking",Ho Chi Minh,CSE,University dormitory,3,4,4,4,3,3,2,2,3,5,1,4,4,4,3,4,6-7 hours,3,"Yes, but I haven't used them",3,3,5,4,Close to my home :3
11/25/2024 13:53:09,Male,21,168,80,"Sports, Reading, Gaming, Music, Art",Đồng Tháp,CSE,University dormitory,5,5,5,5,4,3,3,3,2,5,3,3,5,5,3,4,5-6 hours,1,"Yes, and I've used them",4,4,4,5,N.A
11/25/2024 13:54:31,Female,19,154,54,"Sports, Music",Vũng Tàu,BFA,University dormitory,4,4,3,5,3,3,3,2,4,5,None,4,4,4,4,3,6-7 hours,5,"Yes, but I haven't used them",3,4,2,4,
11/25/2024 13:58:48,Male,21,167,66,"Sports, Gaming, Music, Art",Ho Chi Minh,CSE,Home with family,5,4,4,4,4,3,2,4,5,5,None,4,5,5,4,3,5-6 hours,4,"Yes, but I haven't used them",5,4,5,5,
11/25/2024 14:34:33,Female,20,160,52,"Sports, Reading, Music, Art",Ho Chi Minh,BBA,University dormitory,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,6-7 hours,3,"Yes, but I haven't used them",3,3,3,3,
11/25/2024 14:35:11,Female,19,159,50,"Sports, Reading",Ho Chi Minh,BBA,University dormitory,5,5,5,5,3,1,3,2,5,5,2,3,3,5,3,5,6-7 hours,3,"No, I wasn't aware",3,4,3,5,
11/25/2024 14:36:55,Female,19,167,58,Internet Surfing,Quang Nam,BFA,University dormitory,3,3,3,3,4,5,4,2,4,4,1,2,2,3,4,3,6-7 hours,4,"Yes, but I haven't used them",4,4,2,3,
11/25/2024 14:41:13,Female,19,160,60,"Reading, Art",Vung Tau,BFA,University dormitory,3,4,1,4,5,4,2,1,5,5,3,3,5,4,4,5,6-7 hours,5,"Yes, but I haven't used them",4,3,4,5,Infrastructure
11/25/2024 16:19:22,Male,19,170,78,"Sports, Reading, Gaming, Music",Vung Tau,CSE,University dormitory,3,3,3,4,4,3,3,3,3,4,None,2,3,3,3,3,5-6 hours,3,"Yes, but I haven't used them",3,3,3,3,:3
11/25/2024 18:26:49,Female,19,165,47,"Sports, Art",Hcm,ARC,University dormitory,3,3,3,4,4,3,1,1,4,5,1,3,3,4,4,3,6-7 hours,4,"Yes, but I haven't used them",4,3,3,4,
11/25/2024 20:14:28,Female,19,164,50,Watching movies,Vung Tau,BBA,University dormitory,4,3,3,3,3,4,3,3,3,3,2,2,2,3,3,3,5-6 hours,3,"Yes, but I haven't used them",4,3,4,4,
11/25/2024 20:19:26,Male,21,162,60,"Sports, Gaming",Da Nang,CSE,University dormitory,4,4,4,4,4,3,2,2,4,5,None,3,3,4,4,4,6-7 hours,4,"Yes, and I've used them",3,3,4,4,
11/25/2024 20:25:46,Female,21,160,47,"Sports, Reading, Music",Ho Chi Minh,BFA,Rental apartment/house,3,4,4,4,4,3,4,4,5,5,2,2,4,4,3,4,7-8 hours,4,"Yes, and I've used them",4,3,4,4,
11/25/2024 21:56:46,Male,21,175,61,"Gaming, Music",Vung Tau,CSE,University dormitory,3,4,3,4,2,5,2,3,5,5,None,2,2,4,3,2,7-8 hours,5,"No, I wasn't aware",3,4,5,3,
11/25/2024 21:59:13,Male,21,173,68,"Sports, Reading, Music",HCM,CSE,University dormitory,3,3,3,3,3,3,4,4,3,3,1,3,3,3,3,3,6-7 hours,4,"Yes, but I haven't used them",3,3,3,3,
11/25/2024 22:01:29,Male,21,170,62,Gaming,Vũng Tàu,CSE,Rental apartment/house,4,5,4,5,5,4,3,3,5,3,None,4,4,4,3,5,7-8 hours,4,"Yes, but I haven't used them",5,4,5,4,
11/25/2024 22:05:10,Male,21,179,74,"Reading, Gaming, Music",Vung Tau,CSE,University dormitory,3,3,3,3,2,4,2,1,3,3,None,1,1,1,1,4,6-7 hours,5,"No, I wasn't aware",2,4,1,1,no class
11/25/2024 22:06:13,Male,21,168,60,"Gaming, Music",Binh Duong,CSE,Home with family,3,3,4,4,2,4,5,5,5,5,None,3,3,5,3,4,5-6 hours,1,"No, I wasn't aware",2,4,3,5,
11/25/2024 22:08:52,Male,21,174,72,Sports,Vung Tau,Cse,Nhà trọ,2,3,1,4,3,2,3,3,5,5,None,3,4,4,2,1,7-8 hours,4,"No, I wasn't aware",2,1,5,4,Build the gym
11/25/2024 22:12:55,Male,21,183,90,"Sports, Reading, Gaming, Music, Art",Hai Phong city,CSE,I live in both the dorm and at home,3,4,5,5,4,2,3,3,5,5,None,4,4,5,5,5,Less than 5 hours,3,"No, I wasn't aware",4,5,5,3,
11/25/2024 22:13:31,Male,21,170,65,"Sports, Reading, Gaming, Music",Ho Chi Minh,CSE,Home with family,4,3,4,4,2,3,3,3,4,4,None,3,3,4,4,4,5-6 hours,2,"Yes, and I've used them",4,5,4,4,
11/25/2024 22:18:37,Male,21,170,58,"Sports, Gaming, Music",HCMC,CSE,Home with family,5,5,5,5,5,3,4,5,5,5,None,3,5,5,5,3,7-8 hours,4,"No, I wasn't aware",3,4,5,5,More dorm rooms so that students can register single room. 
11/25/2024 22:20:21,Male,20,180,65,"Reading, Gaming",Ho Chi Minh ,CSE,Home with family,3,2,4,3,4,4,4,4,5,4,1,3,3,4,3,4,6-7 hours,2,"Yes, but I haven't used them",5,4,5,5,
