Female,Male,Age,Height,Weight,Art,Gaming,Hacking,Internet Surfing,Learning,Music,Reading,Sports,Watching movies,An Giang,Binh Duong,Da Nang,Dong Nai,Dong Thap,Ha Noi,Hai Phong,Ho Chi Minh,Nha Trang,Phu Yen,Quang Nam,Tay Ninh,Vung Tau,ARC,BBA,BCE,BFA,CSE,ECE,MEN,Home with family,I live in both the dorm and at home,Rental apartment/house,University dormitory,Satisfaction with Courses,Quality of Teaching Methods,Manageable Study Workload,Adaptation to Teaching Style,Satisfaction with Campus Cleanliness,Internet/WiFi Quality,Canteen Satisfaction,Canteen Price Satisfaction,Study Space Satisfaction,Friendship Quality,Number of Clubs,International Student Interaction,Campus Social Events Satisfaction,Personal Growth,German Language Progress,Stress Management,Hours of Sleep,Exam Anxiety,"No, I wasn't aware","Yes, and I've used them","Yes, but I haven't used them",Tuition Satisfaction,Living Cost Management,Scholarship Satisfaction,Happiness
0,1,21,170.0,70.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,5.5,1,0,1,0,1,1,1,5
0,1,21,171.0,65.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.5,0,0,0,1,1,1,1,5
0,1,21,174.0,72.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,5.5,1,1,0,0,1,1,1,4
0,1,21,172.0,78.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,6.5,1,0,0,1,1,1,1,4
0,1,21,168.0,80.0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,3,1,1,1,1,1,5.5,0,0,1,0,1,1,1,5
1,0,19,154.0,54.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,6.5,1,0,0,1,1,1,0,4
0,1,21,167.0,66.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,5.5,1,0,0,1,1,1,1,5
1,0,20,160.0,52.0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.5,1,0,0,1,1,1,1,3
1,0,19,159.0,50.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,2,1,1,1,1,1,6.5,1,1,0,0,1,1,1,5
1,0,19,167.0,58.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,6.5,1,0,0,1,1,1,0,3
